x,y,z
647,-2015,1191
655,-2055,1215
711,-2111,1271
695,-2063,1319
719,-2135,1351
647,-2167,1399
623,-2127,1415
519,-2127,1487
503,-2119,1535
383,-2095,1535
335,-2047,1559
271,-2023,1543
223,-1983,1559
175,-1943,1559
167,-1903,1535
159,-1879,1567
95,-1871,1583
63,-1847,1567
7,-1871,1599
-47,-1831,1599
-103,-1823,1623
-151,-1871,1623
-231,-1903,1623
-327,-1951,1599
-407,-1975,1623
-503,-2031,1583
-655,-2063,1583
-767,-2055,1527
-559,-1951,1367
-1063,-2327,1407
-1311,-2503,1447
-1599,-2647,1431
-1791,-2679,1399
-1799,-2527,1343
-1887,-2407,1207
-1983,-2327,1103
-2079,-2247,999
-2247,-2167,895
-2287,-2015,743
-2319,-1743,607
-2231,-1551,431
-2095,-1399,279
-1927,-1239,103
-1759,-1031,7
-1639,-871,-71
-1543,-687,-143
-1471,-559,-255
-1367,-423,-327
-1279,-383,-415
-1239,-367,-463
-1191,-383,-551
-1159,-391,-567
-1207,-471,-575
-1255,-511,-591
-1343,-567,-567
-1367,-631,-567
-1439,-687,-575
-1511,-655,-567
-1583,-607,-575
-1639,-575,-615
-1647,-471,-607
-1663,-319,-615
-1703,-247,-631
-1647,-111,-663
-1663,0,-639
-1647,111,-703
-1567,207,-679
-1511,303,-743
-1447,407,-695
-1375,431,-711
-1335,495,-687
-1271,543,-631
-1167,575,-599
