x,y,z
1967,2415,-15
1671,2271,207
1375,2079,391
967,1655,543
711,1335,551
447,1023,591
311,855,631
167,687,671
79,527,735
111,407,791
79,327,855
23,255,919
23,167,1039
-47,47,1031
-63,23,1095
-119,-63,1095
-175,-135,1055
-199,-159,1071
-247,-159,1087
-263,-175,1023
-271,-135,1047
-295,-127,1023
-279,-39,1079
-311,15,1095
-303,119,1087
-319,207,1047
-351,263,1055
-383,375,991
-431,439,959
-471,535,959
-527,551,895
-567,647,863
-591,679,823
-655,711,799
-679,727,775
-695,695,719
-719,703,719
-711,671,735
-703,655,695
-679,575,655
-615,543,711
-535,519,703
-487,495,767
-455,495,767
-399,447,791
-303,439,823
-263,391,847
-255,327,855
-207,319,831
-191,303,815
-223,327,783
-231,343,823
-279,327,791
-303,439,783
-303,559,751
-223,695,767
-207,815,695
-71,983,679
167,1103,575
391,1247,511
719,1319,439
1183,1399,319
1455,1567,351
1871,1759,359
2271,2015,351
2711,2135,383
3190,2271,351
3606,2375,271
4030,2415,239
4286,2375,143
4414,2303,47
4430,2103,-127
4358,1791,-319
4206,1559,-479
4014,1327,-607
3830,1199,-743
3630,1023,-823
3510,911,-943
3326,815,-991
3206,735,-1039
3102,703,-1063
2982,663,-1087
2863,663,-1095
2727,687,-1127
2567,671,-1143
2407,743,-1159
2231,711,-1191
2015,735,-1223
1775,743,-1271
1535,735,-1303
1311,719,-1351
1119,671,-1423
935,671,-1439
799,607,-1479
711,599,-1479
639,527,-1503
623,511,-1543
607,479,-1583
623,399,-1591
687,359,-1615
711,303,-1591
775,239,-1639
863,199,-1631
935,127,-1623
1023,23,-1655
1095,-15,-1711
1103,-63,-1711
1119,-135,-1711
1143,-183,-1703
1143,-215,-1703
1119,-287,-1711
1079,-287,-1687
1007,-311,-1671
943,-327,-1623
847,-343,-1607
743,-383,-1631
695,-399,-1575
623,-415,-1543
543,-407,-1463
511,-423,-1439
511,-463,-1407
535,-439,-1327
527,-415,-1271
615,-431,-1231
623,-423,-1175
687,-399,-1103
759,-399,-1047
807,-391,-999
903,-439,-959
975,-407,-839
1055,-391,-775
1175,-335,-735
1215,-295,-671
1303,-263,-615
1367,-223,-599
1375,-215,-663
1407,-207,-767
1391,-239,-879
1431,-175,-879
1535,-95,-1015
1599,-39,-1127
1711,79,-1191
1839,151,-1279
1975,327,-1415
2191,503,-1519
2343,703,-1615
2519,887,-1663
2615,1063,-1671
2719,1151,-1671
2783,1191,-1551
2823,1159,-1535
3158,1471,-863
3030,1599,-711
2799,1679,-527
2575,1615,-383
2311,1575,-231
2031,1551,-63
1759,1487,63
1479,1391,239
671,639,527
519,487,543
455,351,575
383,255,607
367,175,719
367,119,719
367,23,807
335,-15,871
327,-63,911
287,-95,935
295,-143,919
247,-151,919
223,-167,919
207,-127,887
175,-95,943
159,-39,943
143,15,951
135,47,983
111,95,983
111,159,999
63,191,935
15,255,983
-31,271,959
-55,295,975
-103,359,951
-151,391,943
-167,447,943
-231,487,927
-271,511,911
-295,543,879
-367,575,847
-391,607,791
-431,607,727
-479,655,743
-519,647,703
-527,639,671
-607,623,607
-623,583,591
-655,583,559
-679,535,511
-679,543,511
-735,527,487
-687,487,455
-711,503,487
-711,463,463
-607,271,479
-655,439,439
-679,415,431
-663,423,423
-671,423,391
-663,391,383
-655,399,343
-655,383,335
-663,343,319
-671,383,279
-743,391,263
-735,439,207
-727,495,159
-695,591,23
-607,695,-47
-415,879,-183
-215,1007,-295
0,1135,-375
335,1287,-455
703,1423,-487
1047,1783,-399
1487,1751,-343
1839,1863,-199
2335,2279,-223
2775,2407,-215
3174,2407,-295
3462,2367,-359
3686,2215,-479
3822,2143,-615
3894,1967,-767
3902,1823,-855
3886,1759,-959
3838,1615,-1047
3758,1503,-1103
3654,1343,-1095
3526,1127,-1135
3382,1007,-1111
3238,791,-1143
3094,679,-1183
2863,599,-1159
2663,519,-1159
2463,503,-1143
2207,511,-1151
1983,527,-1175
1703,559,-1239
1439,599,-1255
1183,655,-1311
943,663,-1367
751,727,-1383
567,767,-1447
431,807,-1463
343,871,-1487
247,879,-1535
223,895,-1527
191,927,-1543
175,863,-1567
191,831,-1511
215,759,-1503
279,679,-1511
327,559,-1463
375,463,-1439
431,319,-1375
511,223,-1351
591,111,-1351
639,0,-1263
719,-103,-1279
767,-207,-1239
815,-279,-1247
863,-343,-1231
919,-447,-1215
927,-511,-1191
975,-591,-1175
1007,-663,-1207
991,-743,-1127
1063,-799,-1103
1063,-847,-1095
1063,-863,-1079
1111,-863,-1095
1095,-895,-1007
1135,-895,-967
1143,-879,-959
1111,-879,-919
1143,-839,-903
1143,-799,-871
1103,-815,-847
1095,-759,-783
1055,-727,-783
1047,-703,-743
1031,-695,-687
1023,-679,-655
1015,-679,-639
1031,-663,-559
1047,-639,-575
1111,-599,-559
1111,-591,-591
1183,-599,-631
1263,-623,-695
1311,-583,-783
1383,-551,-823
1471,-511,-879
1599,-495,-967
1791,-423,-1111
1983,-295,-1263
2239,-111,-1383
2527,199,-1471
2743,503,-1591
3054,847,-1575
3278,1151,-1535
3462,1471,-1431
3590,1735,-1399
3654,2015,-1343
3598,2255,-1287
3510,2423,-1319
3342,2559,-1319
3238,2631,-1335
3086,2711,-1407
3030,2655,-1415
2958,2695,-1279
2966,2767,-1119
2927,2799,-927
2855,2791,-711
2759,2727,-487
2559,2559,-343
2391,2343,-143
2175,2071,-31
1951,1759,103
1767,1487,271
1535,1199,399
1391,927,503
1279,663,559
1199,399,679
1159,151,719
1127,-39,775
1151,-231,847
1119,-303,895
1175,-455,967
1151,-495,1015
1127,-551,1031
1095,-607,1023
1047,-631,1103
1023,-631,1079
975,-599,1055
863,-543,1015
799,-495,1023
767,-415,1015
687,-319,975
607,-255,975
551,-199,943
511,-135,919
455,-71,935
423,0,879
375,23,895
367,31,887
319,79,887
279,151,887
327,135,887
263,199,911
295,207,887
255,191,903
223,223,895
215,255,927
167,239,855
119,239,903
87,255,831
0,223,815
-15,215,823
-87,207,807
-111,191,767
-183,175,783
-247,143,711
-279,159,703
-351,135,687
-415,87,639
-495,71,639
-543,71,623
-615,23,591
-647,15,567
-743,47,543
-807,55,511
-911,55,495
-999,63,431
-1039,55,327
-1103,191,239
-1079,103,119
-959,287,87
-711,447,47
-455,655,87
-271,863,127
0,1055,239
247,1231,335
551,1439,399
831,1535,471
1135,1455,439
1543,2071,671
